1000 4000
426 74 320
446 109 469
998 563 321
515 698 37
241 810 267
227 790 505
847 292 359
556 906 387
797 751 300
482 339 870
374 1 360
711 988 112
442 932 788
655 389 605
869 677 535
924 953 73
763 544 580
627 4 433
976 786 32
685 87 520
307 976 804
392 854 760
976 214 930
370 935 292
876 182 21
573 421 562
291 683 823
5 232 138
196 715 600
123 497 486
525 163 696
381 427 665
49 861 875
390 68 10
806 639 50
602 728 331
933 228 680
13 432 529
380 626 686
709 837 743
716 994 638
2 887 812
432 67 207
815 29 345
6 375 581
60 306 167
276 513 557
943 595 207
991 527 264
252 403 683
29 61 145
219 271 755
708 827 31
755 332 259
437 656 645
361 833 646
757 89 493
306 661 669
994 736 762
642 997 805
481 836 32
26 434 357
630 580 156
960 571 247
7 872 951
394 950 187
384 430 3
941 781 628
977 362 94
914 965 729
237 297 989
466 678 252
36 989 935
134 234 216
17 109 633
489 422 93
343 215 733
742 104 810
850 846 775
345 125 830
113 652 483
561 252 831
535 581 252
180 107 602
459 555 900
448 568 628
422 387 508
774 229 592
761 711 591
100 803 796
942 111 814
931 602 229
207 361 543
887 668 988
77 333 332
221 906 916
159 406 289
21 161 331
210 87 470
538 487 785
767 223 459
965 929 939
557 307 415
751 657 188
389 312 275
567 874 839
213 982 161
440 359 881
330 783 896
509 688 340
172 252 470
287 752 160
921 996 572
987 717 631
448 440 29
829 242 255
303 781 828
43 322 488
204 539 377
53 875 844
14 221 773
77 53 895
19 54 778
227 823 647
41 649 552
986 951 24
80 125 283
657 798 93
816 432 564
603 219 827
983 437 365
468 402 190
788 395 339
615 721 526
490 687 278
995 943 288
489 515 572
475 860 857
832 514 907
414 312 344
968 543 519
515 777 20
439 75 128
414 658 979
117 231 413
93 853 400
963 608 90
80 859 453
263 362 620
905 762 644
135 882 393
145 415 204
664 837 881
851 657 870
600 416 203
524 489 946
482 401 359
175 530 708
174 673 19
761 478 992
655 454 120
611 350 425
855 378 46
990 967 725
186 232 135
182 158 427
671 61 21
388 741 756
991 699 872
589 109 339
0 57 791
493 855 238
200 791 718
90 272 70
121 363 878
321 648 895
137 136 175
594 669 817
119 597 515
469 277 500
597 274 221
231 372 935
373 75 473
992 729 836
384 389 514
963 190 601
351 30 754
502 53 969
410 815 346
388 221 307
334 961 578
322 13 120
890 373 847
823 993 37
425 759 578
37 57 819
289 565 612
947 931 655
508 527 591
81 843 485
950 550 63
752 7 345
502 451 123
585 556 685
169 64 455
275 781 408
244 219 984
624 505 162
120 236 331
99 809 22
866 781 1000
567 357 69
592 621 444
563 720 693
545 336 959
794 881 457
254 90 902
291 340 706
694 839 869
881 170 61
622 157 786
68 113 7
211 939 788
802 916 76
511 343 867
482 506 377
990 101 807
611 243 815
690 828 404
357 131 240
229 55 914
920 270 516
268 102 1000
242 365 962
655 84 207
118 709 934
40 384 324
893 959 429
843 549 264
723 68 606
66 97 814
47 513 428
46 729 543
968 232 488
160 134 288
774 594 67
145 585 398
168 772 309
183 758 977
667 1 665
720 836 906
363 665 600
975 855 322
653 573 742
522 707 169
380 782 104
483 758 326
265 425 931
453 497 448
788 917 275
639 740 154
631 141 311
91 403 707
182 520 388
121 78 923
721 602 61
986 106 860
716 75 33
994 380 395
894 330 569
850 677 33
346 966 417
103 927 389
39 367 747
558 585 275
998 729 388
488 105 229
445 543 903
359 365 131
227 608 815
765 143 475
883 831 759
923 116 855
306 612 336
160 190 899
48 969 857
552 330 855
296 957 9
970 335 618
921 669 701
573 211 979
357 152 334
440 819 498
948 193 979
116 912 539
867 382 451
669 845 917
625 704 437
580 66 141
303 450 655
190 624 490
437 37 326
207 693 155
220 994 869
589 942 791
664 787 896
446 998 276
205 884 240
589 609 671
781 24 566
220 836 498
831 884 504
365 858 363
168 552 271
306 379 523
753 429 890
117 436 962
65 137 655
420 114 51
873 556 178
373 434 944
112 487 679
825 630 503
769 913 31
919 643 717
486 511 549
79 843 215
816 997 929
103 514 754
499 33 733
888 903 970
19 38 949
849 594 280
245 294 135
319 609 946
599 935 560
707 769 885
36 486 410
961 722 732
876 138 862
503 361 259
281 663 484
55 36 174
936 702 651
577 995 738
441 434 293
925 552 623
391 94 232
206 492 76
612 958 168
884 584 788
617 696 208
202 400 80
177 709 482
836 237 178
310 680 932
403 159 416
317 468 539
339 379 649
663 983 212
974 320 570
325 648 560
546 605 463
690 470 115
545 691 125
208 644 292
858 373 31
181 661 687
151 230 530
468 330 240
730 71 636
796 542 444
86 655 330
984 280 518
188 756 176
318 760 41
362 169 381
571 660 190
236 874 748
990 528 853
376 516 702
169 54 932
932 420 959
623 377 875
392 647 783
529 329 759
985 45 183
259 806 780
828 692 897
932 516 245
738 55 206
963 559 140
905 308 635
559 466 429
999 421 710
253 309 458
758 683 903
139 76 965
658 469 321
307 497 331
820 203 215
637 938 439
776 28 131
943 453 181
72 691 506
305 387 403
75 281 296
446 836 895
946 576 773
917 57 86
546 202 977
520 684 805
331 817 875
396 358 631
167 558 687
564 217 28
567 802 306
647 431 514
758 684 241
555 828 978
188 102 338
21 295 425
787 218 211
536 875 534
903 670 927
176 570 456
645 843 912
590 562 367
466 867 543
529 635 964
260 773 700
228 368 587
739 850 534
673 440 866
208 372 942
348 84 864
253 35 743
126 352 980
359 866 154
85 970 345
842 174 177
975 963 28
903 40 314
521 568 282
362 958 601
510 793 909
641 784 721
551 461 943
279 857 231
808 724 664
742 897 956
846 153 324
9 613 17
229 746 541
554 258 471
585 124 271
291 1000 433
293 931 480
526 567 981
320 409 280
81 353 581
527 513 49
184 859 737
83 552 833
701 997 815
516 542 164
370 725 221
802 134 689
409 139 81
322 876 146
968 850 188
986 326 335
849 246 842
343 506 318
332 913 689
799 106 610
995 598 915
472 426 856
632 797 558
144 437 164
602 560 613
469 207 774
947 159 815
122 205 646
258 367 766
115 252 724
111 448 875
526 180 141
53 56 171
287 42 291
465 24 177
382 382 818
998 582 498
438 423 192
748 860 317
5 461 2
86 603 537
938 928 856
476 307 15
892 146 27
556 708 131
859 131 958
39 880 744
597 441 684
55 433 562
224 537 854
258 272 689
896 171 224
728 57 19
234 176 26
953 47 921
731 706 410
468 889 143
639 45 39
506 404 682
79 881 747
479 650 12
857 544 86
153 689 37
706 813 745
97 515 164
263 24 742
583 726 743
482 827 208
342 232 232
121 47 601
663 584 100
598 249 640
452 632 980
467 457 290
730 160 43
468 310 992
35 261 601
770 967 705
62 134 595
127 887 692
267 847 497
455 33 208
244 551 764
132 67 631
865 252 428
677 331 878
464 614 493
350 580 481
961 954 377
19 400 13
775 836 240
117 547 649
13 503 56
978 620 508
44 629 856
401 626 383
198 965 395
512 160 135
912 839 714
110 803 677
460 782 465
769 30 54
526 715 929
513 942 702
758 216 594
883 109 449
137 139 138
814 3 164
435 976 182
446 203 1
164 875 892
688 721 43
694 870 526
802 540 285
822 128 266
795 375 672
364 890 951
20 166 712
346 343 572
37 101 212
264 909 270
787 37 177
65 253 984
626 190 634
861 960 380
851 916 935
155 695 879
735 27 757
652 504 895
257 919 968
789 106 760
63 811 573
962 523 755
288 226 355
225 398 886
256 826 731
217 512 863
935 271 286
151 450 15
78 257 39
119 222 304
841 220 835
77 115 238
288 685 273
650 827 749
535 94 103
22 469 777
645 366 962
992 788 534
710 850 676
557 2 567
717 888 497
940 971 804
863 618 99
762 936 750
309 437 464
295 955 503
360 566 726
885 600 482
239 554 884
22 575 338
687 330 611
813 625 691
843 874 592
507 670 12
488 322 914
878 253 648
422 624 983
643 555 272
560 561 834
49 426 355
261 803 675
446 763 43
114 982 212
160 774 962
51 771 965
56 61 643
41 998 565
33 806 244
208 729 767
941 346 529
554 237 776
929 818 382
857 475 585
158 298 801
383 693 278
743 685 388
10 631 455
178 420 122
771 209 4
726 811 955
60 903 2
919 475 766
36 550 832
770 157 84
626 983 990
305 771 358
85 834 598
279 465 213
666 557 649
223 667 789
520 190 243
433 763 44
415 701 674
860 435 547
715 86 128
166 721 35
353 160 464
461 966 776
139 251 276
62 713 226
703 436 777
243 626 994
966 920 675
147 114 552
253 648 260
295 707 628
239 776 557
594 547 624
941 173 238
598 116 803
81 829 874
329 534 478
882 239 643
346 735 651
105 794 400
907 607 766
820 385 906
446 505 959
478 340 47
374 7 958
341 581 701
465 115 91
537 147 904
479 127 243
863 939 916
342 683 706
530 751 501
219 54 1000
544 639 758
618 936 289
19 674 307
233 788 234
936 195 181
266 566 235
981 120 83
775 831 82
58 314 840
608 980 823
955 995 351
857 681 438
9 324 280
781 203 964
899 452 82
821 915 984
315 142 989
584 486 291
105 226 286
387 0 787
213 518 105
221 249 167
207 293 785
844 953 55
550 469 515
95 419 976
840 285 463
415 82 877
568 777 427
42 859 958
590 463 690
149 110 0
462 288 737
545 557 482
194 859 715
679 905 970
540 274 306
917 284 515
294 203 803
929 819 583
992 684 500
803 389 987
729 176 801
165 736 235
411 111 214
132 640 552
940 55 777
714 99 804
768 913 576
352 561 755
761 866 388
717 835 531
741 127 407
342 632 846
920 969 590
66 906 221
165 511 285
866 713 682
293 380 926
675 760 451
557 477 153
357 133 901
760 604 153
986 22 649
386 613 108
593 542 591
329 397 906
120 611 982
216 249 440
838 808 622
586 507 349
670 77 248
211 183 529
977 485 824
746 532 595
383 14 104
114 86 143
244 284 484
286 673 879
392 80 257
824 178 123
550 949 804
572 217 805
711 111 182
565 392 459
709 202 8
55 330 406
547 784 432
42 58 301
442 521 471
695 25 271
869 716 650
87 431 586
727 379 419
841 447 396
915 276 839
831 515 498
420 602 680
132 778 594
526 339 904
962 460 564
458 492 394
10 442 997
239 846 405
191 603 407
313 5 659
402 441 347
651 102 728
565 6 459
93 475 639
414 184 681
277 189 923
437 982 42
56 146 330
854 794 815
937 207 43
509 958 964
845 958 547
456 816 593
825 795 103
599 75 921
217 756 7
282 990 623
852 759 448
831 719 469
408 24 256
38 863 746
136 226 768
569 47 490
443 474 439
800 527 770
868 363 525
612 741 485
408 99 615
516 376 46
947 138 236
703 7 516
632 205 827
483 484 113
650 31 344
35 480 524
719 866 759
229 540 56
54 234 439
296 314 341
767 5 681
686 370 415
227 576 892
978 137 341
620 325 553
908 11 853
632 350 922
731 326 982
798 886 323
789 418 498
745 462 577
613 78 690
102 111 490
757 965 38
459 26 386
573 329 645
228 537 882
584 274 839
825 631 202
612 240 97
821 23 364
658 667 392
159 479 87
908 692 18
341 917 236
364 549 40
79 792 482
839 238 999
119 613 301
159 620 999
48 181 976
712 379 369
58 413 631
341 168 761
624 464 206
267 736 683
994 229 167
874 601 623
790 411 258
764 736 58
501 689 171
246 602 601
149 451 986
319 134 212
592 163 336
456 373 869
497 107 267
361 613 935
27 928 2
438 22 588
527 89 475
19 182 790
759 152 523
264 358 617
258 260 445
844 529 353
451 209 616
525 416 602
62 266 316
737 554 137
277 116 577
137 783 865
25 676 759
122 578 27
791 706 353
919 604 570
65 788 479
31 229 475
362 255 305
280 522 437
481 978 556
778 849 908
920 191 575
545 540 516
340 681 21
767 56 381
870 126 53
75 715 931
751 926 949
99 122 831
707 697 905
192 864 362
132 912 457
820 348 227
401 517 255
369 525 164
156 846 244
207 243 727
100 392 160
181 361 577
822 268 65
542 680 795
433 23 240
416 722 467
231 626 659
742 651 624
805 583 486
691 348 10
515 59 887
929 551 266
568 564 432
14 24 238
41 310 662
130 249 181
401 972 920
256 206 537
573 964 208
938 848 655
307 239 943
662 700 625
222 691 685
49 702 70
307 431 773
377 408 481
999 679 284
217 925 907
305 299 691
827 376 19
187 373 850
745 766 52
992 367 575
949 714 390
355 774 73
554 287 309
546 467 889
721 123 722
289 635 593
283 434 697
557 555 557
474 132 596
125 450 56
295 529 307
867 917 433
747 362 99
764 657 924
744 569 492
642 413 115
514 585 695
175 481 370
967 744 281
186 377 190
287 760 658
706 44 104
75 750 566
829 343 260
93 33 406
586 164 70
226 5 309
311 667 40
82 445 628
562 134 168
476 926 726
516 642 861
106 266 999
391 23 664
492 951 637
335 345 539
575 779 676
991 2 359
951 362 48
996 166 294
273 403 625
316 90 62
837 471 707
990 676 793
578 287 782
74 435 6
537 219 734
345 424 17
804 786 981
35 108 786
135 452 859
140 730 41
50 59 406
907 844 96
479 782 154
368 308 218
365 115 998
385 29 578
480 328 493
883 760 152
991 458 194
907 406 56
236 261 764
290 863 787
35 91 278
634 50 379
564 199 681
581 780 506
326 119 513
361 285 462
197 860 354
331 130 581
294 135 559
524 422 333
678 248 933
938 352 382
80 532 860
286 212 745
289 661 879
159 53 490
886 715 887
960 279 634
963 785 70
619 981 667
72 120 693
530 118 900
569 731 795
370 233 64
893 972 83
108 431 812
202 183 208
898 520 278
171 32 487
856 85 50
747 621 759
401 990 986
922 720 856
613 862 583
950 3 39
383 849 241
35 907 269
258 711 427
637 426 465
824 45 67
104 951 677
567 830 125
537 263 831
449 145 604
276 803 971
57 39 893
593 682 982
790 332 819
513 303 453
588 460 264
939 419 919
354 820 210
565 47 150
985 643 8
408 130 463
967 423 486
994 95 348
120 411 529
333 125 941
746 611 52
677 132 796
491 822 770
372 705 119
131 473 11
273 628 795
629 477 559
27 488 729
976 1 10
159 653 881
369 849 163
206 666 895
675 463 620
112 775 213
608 279 179
415 891 943
890 139 377
795 585 383
2 626 50
93 524 31
109 524 924
591 822 707
374 746 762
700 215 92
341 246 643
618 998 29
703 259 342
482 751 25
605 172 91
579 69 792
872 754 848
779 64 133
127 804 406
910 562 330
815 804 657
975 831 9
146 791 211
744 453 322
811 618 697
86 609 303
858 368 268
106 706 663
710 40 180
713 241 453
889 664 348
933 950 785
889 853 959
189 659 240
351 945 836
721 90 365
292 223 757
457 9 118
804 472 946
236 462 717
376 556 611
30 916 848
143 136 457
201 527 992
434 872 269
178 316 123
611 286 552
725 474 618
980 344 880
847 437 383
201 236 549
408 69 284
25 372 230
814 427 340
186 926 673
936 907 845
130 364 750
927 650 35
878 666 54
771 579 272
741 329 768
556 957 900
754 404 510
595 665 983
461 184 530
784 758 399
247 481 455
511 918 60
911 937 782
499 321 439
536 530 509
179 530 761
205 186 378
30 274 588
810 272 873
908 517 680
444 321 62
415 900 36
625 565 379
961 520 359
358 235 24
452 785 46
888 857 608
254 409 156
274 163 952
927 462 28
34 736 650
587 828 641
748 742 324
178 525 394
162 543 953
644 162 353
800 192 740
601 418 29
765 722 32
15 285 268
544 377 978
677 551 462
246 466 817
215 21 964
909 899 349
598 238 526
621 388 750
578 229 566
534 383 798
410 72 132
23 64 989
578 983 393
663 845 29
601 851 136
579 751 33
67 499 855
687 701 705
773 508 221
649 802 755
205 810 792
948 223 866
326 811 326
640 582 835
663 504 858
753 397 969
523 535 720
150 910 792
572 968 375
268 122 868
993 293 639
137 998 638
754 980 842
842 251 470
124 607 644
396 924 614
609 385 958
878 923 583
732 517 934
807 920 787
687 885 846
252 536 43
137 743 355
772 437 53
744 894 957
917 880 209
822 274 308
664 274 949
185 778 862
570 7 860
424 63 618
836 875 708
523 258 768
183 344 105
691 602 995
405 582 447
377 137 728
823 825 602
107 953 218
911 187 883
61 244 931
879 234 612
35 223 107
552 967 726
69 520 67
222 456 523
519 951 345
236 63 543
393 997 870
731 410 386
944 619 100
771 252 479
424 262 659
507 677 885
738 535 773
634 103 297
349 325 469
930 320 21
446 596 624
40 590 111
535 774 734
146 954 245
36 277 451
61 68 385
485 964 932
155 874 520
623 401 863
528 12 860
513 117 817
908 191 831
321 901 735
618 54 81
846 231 279
195 567 48
522 238 479
850 472 587
672 823 200
439 710 93
577 240 414
179 252 123
993 344 915
247 944 651
439 469 786
963 167 126
810 297 475
33 946 678
437 579 627
821 434 216
128 185 17
299 880 149
633 258 288
607 894 480
553 373 349
27 440 361
266 166 428
735 584 278
444 653 780
240 477 307
152 260 503
863 70 17
316 962 454
298 190 526
137 951 759
83 723 537
382 10 930
814 91 350
615 208 492
499 791 477
231 132 365
787 840 772
391 97 733
215 290 205
738 510 722
153 611 486
687 307 155
102 812 447
937 830 826
642 80 86
771 415 414
17 412 512
690 256 638
172 96 931
301 948 80
928 24 264
217 794 688
578 113 572
623 484 849
623 42 416
139 819 350
62 505 437
458 283 603
483 265 477
905 620 372
1000 281 849
965 128 957
44 891 162
152 48 407
911 837 19
402 725 36
733 627 427
553 780 123
526 316 769
269 926 308
123 849 919
90 592 707
520 881 466
514 622 794
471 260 215
458 338 325
514 85 25
627 641 152
620 907 17
968 52 451
317 440 864
938 460 556
577 346 581
535 737 424
926 340 25
112 642 644
63 881 519
353 774 301
575 121 117
713 229 384
1000 222 576
783 988 687
475 36 235
45 967 177
163 25 215
701 227 160
386 950 606
259 389 789
207 747 387
23 825 150
206 317 678
473 816 928
656 261 292
759 969 160
505 722 360
674 533 665
178 605 774
943 509 520
571 852 227
254 420 705
503 581 440
753 733 522
430 190 144
871 411 431
792 683 310
583 191 870
7 866 774
233 309 742
827 225 318
827 351 213
29 606 175
993 445 511
158 341 758
156 814 112
741 643 303
599 62 889
844 97 528
36 793 790
251 446 815
330 741 666
751 436 601
965 793 912
971 116 171
641 326 921
895 248 529
795 728 657
82 675 295
99 500 162
941 806 535
38 53 378
704 978 22
20 893 83
102 245 347
788 87 170
807 830 796
744 278 314
494 600 923
406 169 75
268 372 516
200 506 118
500 951 15
525 857 700
29 437 824
169 444 251
85 607 667
234 407 428
954 442 346
606 116 15
654 319 84
67 188 653
175 78 52
362 113 214
960 884 586
521 558 791
865 69 655
545 598 317
707 111 850
412 405 353
760 245 471
122 358 119
594 296 200
874 66 107
850 1000 734
241 21 940
220 887 110
148 205 504
245 139 67
699 361 812
462 667 244
881 221 156
526 684 53
23 53 175
504 962 634
605 331 700
207 323 889
683 754 230
99 957 182
951 17 785
880 573 626
980 175 848
986 884 258
175 125 161
430 424 981
228 488 445
874 300 324
988 983 571
212 363 499
267 417 937
880 280 814
190 626 104
511 195 195
966 33 190
882 12 539
485 929 335
521 584 204
621 236 1000
392 807 235
479 407 728
716 174 436
900 641 296
272 893 536
618 89 766
811 181 152
803 80 617
68 21 590
506 849 522
239 459 299
291 525 683
268 716 314
415 64 382
598 306 522
911 185 233
727 336 234
153 66 910
124 940 1000
111 583 664
788 384 445
232 324 104
343 535 583
264 108 310
939 180 496
178 784 680
917 88 99
198 132 763
324 391 146
545 654 324
698 753 84
827 832 727
584 417 846
439 879 409
22 141 293
118 703 660
714 645 669
658 909 908
564 311 911
811 979 235
472 667 266
575 207 608
83 341 47
817 995 708
686 34 429
328 817 728
844 116 728
379 516 426
709 445 38
454 958 623
723 153 773
922 96 819
582 866 551
762 744 609
57 815 984
764 656 86
814 183 652
652 740 344
812 487 231
710 533 16
106 158 27
420 13 238
921 554 597
21 850 996
156 896 695
243 315 676
174 441 824
997 98 903
434 7 69
739 338 405
684 493 91
687 15 158
341 342 342
697 491 111
185 277 276
200 844 743
868 506 876
921 850 224
758 460 99
485 104 684
87 448 844
188 453 506
425 983 1000
469 29 145
797 582 292
463 367 664
135 429 379
322 475 886
768 98 132
853 77 477
232 377 147
951 33 57
543 7 67
158 944 39
451 973 42
543 9 565
728 853 49
682 477 906
572 593 985
615 462 503
820 122 558
148 261 533
882 617 288
221 974 440
383 611 503
812 496 749
376 427 313
859 569 350
552 341 72
373 88 277
101 563 245
600 177 356
96 253 591
114 932 889
109 138 908
84 659 151
637 700 653
711 612 884
277 617 691
130 870 624
562 832 4
559 8 166
498 615 371
329 984 214
745 848 986
350 338 714
476 398 950
482 28 98
218 624 931
546 281 222
498 477 128
118 579 612
463 794 586
530 703 769
160 820 803
882 747 98
879 894 736
736 141 612
799 857 258
475 386 712
970 323 579
457 391 480
373 795 663
362 161 595
230 73 845
761 159 324
540 631 827
274 859 532
18 874 560
626 193 254
135 549 905
703 121 484
34 841 342
441 243 686
315 519 788
447 460 503
519 741 618
327 659 880
936 966 385
810 449 517
30 691 677
443 680 470
353 937 273
274 930 145
172 312 260
852 736 571
881 898 130
386 285 82
611 751 866
58 366 200
846 294 294
891 910 287
909 1000 33
416 971 222
849 474 112
801 141 520
267 671 435
321 469 109
